Commands,,,Tx,Rx,Tx,Rx,Tx,Rx,Tx,Rx
Nexteer connect,,7CC;7CD,02 10 7E 00 00 00 00 00,06 50 7E 00 00 00 00 00,,,,,,
Write Polarity,01 18 10 00 = polarity,7CC;7CD,07 2E FD 03 01 18 10 00 ,03 6E FD 03 00 00 00 00,,,,,,
Write BEMF,,7CC;7CD,05 2E FD C0 00 00 00 00 ,03 6E FD C0 00 00 00 00,,,,,,
Write Torque Scale Sensors T1,,7CC;7CD,07 2E FD B6 3E 51 EB 85 ,03 6E FD B6 00 00 00 00,,,,,,
Write Torque Scale Sensors T2,,7CC;7CD,07 2E FD B7 3E 51 EB 85 ,03 6E FD B7 00 00 00 00,,,,,,
Trim HW Torque Sensors T1,,7CC;7CD,04 31 01 FD A4 00 00 00 ,04 71 01 FD A4 00 00 00,,,,,,
Trim HW Torque Sensors T2,,7CC;7CD,04 31 01 FD A5 00 00 00 ,04 71 01 FD A5 00 00 00,,,,,,
Read HW Torque Trim Performed Sensors T1,,7CC;7CD,03 22 FD BC 00 00 00 00 ,04 62 FD BC 01 00 00 00,,,,,,
Read HW Torque Trim Performed Sensors T2,,7CC;7CD,03 22 FD BD 00 00 00 00 ,04 62 FD BD 01 00 00 00,,,,,,
Write EOL Offset values to defaults,,7CC;7CD,10 37 2E FD F5 48 F4 24 ,30 00 0A 00 00 00 00 00 ,21 00 BD 4C CC CD BD 4C |22 CC CD BD 4C CC CD 00 |23 00 00 00 00 00 00 00|24 00 00 00 00 3F C0 00 |25 00 3F C0 00 00 3F C0 |26 00 00 3F C0 00 00 3F|27 C0 00 00 3F C0 00 00,xx xx xx xx 00 00 00 00 ,,,,
Write EOL Gain values to defaults,,7CC;7CD,10 1B 2E FD F4 42 BE 00  ,30 08 0A 00 00 00 00 00 ,21 00 42 BE 00 00 43 BE |22 B3 33 43 05 4C CD 43 |23 05 4C CD 43 05 4C CD,xx xx xx xx 00 00 00 00 ,,,,
Write Serial Number,,7CC;7CD,10 17 2E FD 30 03 A6 9E ,30 08 0A 00 00 00 00 00,21 A2 00 00 00 00 00 00  |22 00 00 00 00 00 00 00 |23 00 00 00 00 00 00 00,03 6E FD 30 00 00 00 00 ,,,,
